Date,Average_Price,Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Dhading_Wind_Speed,Dhading_Temperature,Dhading_Precipitation,Dhading_Rainfall_MM,Dhading_Air_Pressure,Kathmandu_Wind_Speed,Kathmandu_Temperature,Kathmandu_Precipitation,Kathmandu_Rainfall_MM,Kathmandu_Air_Pressure,Kavre_Wind_Speed,Kavre_Temperature,Kavre_Precipitation,Kavre_Rainfall_MM,Kavre_Air_Pressure,Sarlahi_Wind_Speed,Sarlahi_Temperature,Sarlahi_Precipitation,Sarlahi_Rainfall_MM,Sarlahi_Air_Pressure,day,month,day_of_week,is_weekend,month_sin,month_cos,Average_Price_lag1,Average_Price_lag3,Average_Price_lag7,Supply_Volume_lag1,Supply_Volume_lag7,Supply_Volume_lag30,Average_Price_rollmean_7,Average_Price_rollmean_30,Supply_Volume_rollmean_30,Supply_Volume_rollmean_90
2022-05-05,76.67,18125.0,122.57,143.0,0,False,False,True,False,7.04,3.6241353,18.853998,21.800001,21.800001,1010.32074,3.6555617,18.592333,14.700001,14.700001,1011.5583,4.381471,19.076918,7.4999995,7.4999995,1010.92914,9.229772,26.319502,2.1,2.1,1007.02496,5,5,3,0,0.49999999999999994,-0.8660254037844387,76.67,66.67,66.67,33470.0,27050.0,72750.0,72.14571428571429,63.83500000000001,58125.53333333333,63431.666666666664
2022-05-06,66.67,29450.0,122.32,143.0,0,False,False,True,False,7.04,3.7107973,19.101915,10.099999,10.099999,1010.2292,3.7593668,18.6965,30.800001,30.800001,1011.7126,2.843315,19.818583,5.1,5.1,1010.82916,9.10643,27.15908,0.5,0.5,1006.36237,6,5,4,0,0.49999999999999994,-0.8660254037844387,76.67,85.0,66.67,18125.0,49650.0,80900.0,72.14571428571429,63.89066666666667,56410.53333333333,63703.333333333336
2022-05-07,66.67,28250.0,123.37,143.0,0,False,False,True,False,7.04,4.358884,19.931084,4.9,4.9,1010.0,3.7907593,19.327747,11.6,11.6,1011.51666,4.169916,20.074835,8.499999,8.499999,1010.72095,8.409743,27.00075,0.8,0.8,1006.2,7,5,5,1,0.49999999999999994,-0.8660254037844387,66.67,76.67,66.67,29450.0,8450.0,125650.0,72.14571428571428,63.946333333333335,53163.86666666667,63715.0
2022-05-08,65.0,31000.0,123.37,143.0,0,False,False,True,False,7.04,4.4936385,20.458166,2.0,2.0,1009.2834,4.309905,19.852753,5.7,5.7,1010.83325,3.8043764,20.59775,2.6999998,2.6999998,1010.03766,8.022266,27.615332,0.6,0.6,1005.30414,8,5,6,1,0.49999999999999994,-0.8660254037844387,66.67,76.67,66.67,28250.0,40175.0,78285.0,71.90714285714286,63.946333333333335,51587.7,63926.11111111111
2022-05-09,75.0,48675.0,123.37,143.0,0,False,False,True,False,7.04,4.0436263,21.243586,0.5,0.5,1008.7166,3.896907,20.661085,0.2,0.2,1010.2751,4.492888,21.443586,0.0,0.0,1009.50415,10.137647,28.277834,0.0,0.0,1004.8665,9,5,0,0,0.49999999999999994,-0.8660254037844387,65.0,66.67,66.67,31000.0,35700.0,72385.0,73.09714285714287,64.27966666666667,50797.36666666667,64066.944444444445
2022-05-10,76.67,16250.0,124.25,143.0,0,False,False,True,False,7.04,4.1528864,21.89775,3.3999999,3.3999999,1007.99164,2.826086,20.836082,5.4,5.4,1009.88336,4.2664604,21.974833,5.1,5.1,1008.9958,10.446952,28.694502,0.0,0.0,1004.675,10,5,1,0,0.49999999999999994,-0.8660254037844387,75.0,66.67,85.0,48675.0,42375.0,79875.0,71.90714285714286,64.33533333333334,48676.53333333333,63598.055555555555
2022-05-11,66.67,22000.0,124.04,143.0,0,False,False,True,False,7.04,4.334252,22.081083,0.5,0.5,1006.35004,3.3935385,21.073584,6.2999997,6.2999997,1008.175,3.7207918,21.96025,1.4000001,1.4000001,1007.26666,9.679145,29.077835,0.0,0.0,1002.69183,11,5,2,0,0.49999999999999994,-0.8660254037844387,76.67,65.0,76.67,16250.0,33470.0,121975.0,70.47857142857143,64.05766666666666,45344.03333333333,63717.5
2022-05-12,65.0,11250.0,123.89,143.0,0,False,False,True,False,7.04,3.7470675,22.51442,0.7,0.7,1004.86676,3.4632175,21.240252,4.4,4.4,1006.7126,4.335323,22.08525,1.4000001,1.4000001,1005.84174,11.3722925,29.231997,2.4,2.4,1001.2957,12,5,3,0,0.49999999999999994,-0.8660254037844387,66.67,75.0,76.67,22000.0,18125.0,57350.0,68.81142857142858,63.724333333333334,43807.36666666667,63707.77777777778
2022-05-13,73.61,12958.33,124.17,143.0,0,False,False,True,False,7.04,4.403142,21.816504,7.6999993,7.6999993,1002.2209,3.515523,20.984,7.7,7.7,1003.9084,3.7612505,21.791498,5.2999997,5.2999997,1003.00006,10.244731,28.563253,1.1,1.1,998.5417,13,5,4,0,0.49999999999999994,-0.8660254037844387,65.0,76.67,66.67,11250.0,29450.0,82450.0,69.80285714285715,64.34466666666667,41490.977666666666,63717.037000000004
2022-05-14,82.22,14666.67,124.23,143.0,0,False,False,True,False,7.04,4.3347864,22.333166,2.8999999,2.8999999,1002.56647,3.114837,21.652748,5.0,5.0,1004.3709,3.5642836,22.274834,1.9000001,1.9000001,1003.51654,9.001161,26.859085,19.800001,19.800001,999.68353,14,5,5,1,0.49999999999999994,-0.8660254037844387,73.61,66.67,66.67,12958.33,28250.0,107950.0,72.02428571428571,64.863,38381.53333333333,63745.27777777778
