Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Kathmandu_Rainfall_MM,Sarlahi_Temperature,Sarlahi_Precipitation,Sarlahi_Rainfall_MM,Hilly_Temperature,Hilly_Precipitation,Hilly_Rainfall_MM,day,month,day_of_week,is_weekend,month_sin,month_cos,Average_Price_lag1,Average_Price_lag3,Average_Price_lag7,Supply_Volume_lag1,Supply_Volume_lag7,Supply_Volume_lag30,Sarlahi_Temperature_lag1,Sarlahi_Temperature_lag3,Sarlahi_Temperature_lag7,Sarlahi_Rainfall_MM_lag1,Sarlahi_Rainfall_MM_lag3,Sarlahi_Rainfall_MM_lag7,Hilly_Temperature_lag1,Hilly_Temperature_lag3,Hilly_Temperature_lag7,Hilly_Rainfall_MM_lag1,Hilly_Rainfall_MM_lag3,Hilly_Rainfall_MM_lag7,Kathmandu_Rainfall_MM_lag1,Kathmandu_Rainfall_MM_lag2,Average_Price_rollmean_1,Average_Price_rollstd_1,Average_Price_rollmean_7,Average_Price_rollstd_7,Supply_Volume_rollmean_3,Supply_Volume_rollstd_3,Average_Price
23750.0,121.43,133.0,0,0,0,1,0,7.14,3.8000002,19.434084,0.0,0.0,15.140459,0.0,0.0,3,3,3,0,1.0,6.123233995736766e-17,56.67,66.67,65.0,62800.0,89200.0,25500.0,18.648666,18.698668,19.323668,0.0,0.0,0.0,14.4842095,13.7675425,13.508166,1.69999995,0.0,1.70000005,0.4,0.1,56.67,,62.144285714285715,4.8799072981047384,63496.666666666664,22802.98299199759,56.67
35600.0,121.76,133.0,0,0,0,1,0,7.14,0.0,20.063248,0.0,0.0,15.4737915,0.0,0.0,4,3,4,0,1.0,6.123233995736766e-17,56.67,66.67,65.0,23750.0,44750.0,33000.0,19.434084,18.550749,18.256998,0.0,0.0,3.8,15.140459,14.541501,12.04879175,0.0,0.1,1.000000075,3.8000002,0.4,56.67,,60.95428571428572,5.07905784289067,57730.0,31750.066141663363,60.84
47450.0,122.16,133.0,1,0,0,1,0,7.14,0.0,19.25492,0.0,0.0,15.0633755,0.05,0.05,5,3,5,1,1.0,6.123233995736766e-17,60.84,56.67,60.0,35600.0,64875.0,40500.0,20.063248,18.648666,18.302834,0.0,0.0,0.0,15.4737915,14.4842095,12.711291,0.0,1.69999995,1.0,0.0,3.8000002,60.84,,60.36,4.7601470565519985,40716.666666666664,20021.509267119007,65.0
65425.0,122.16,133.0,1,0,0,1,0,7.14,0.0,20.536167,0.0,0.0,16.437334,0.0,0.0,6,3,6,1,1.0,6.123233995736766e-17,65.0,56.67,55.0,47450.0,85000.0,48000.0,19.25492,19.434084,18.275751,0.0,0.0,0.0,15.0633755,15.140459,13.918585,0.05,0.0,0.1,0.0,0.0,65.0,,61.074285714285715,5.062650350501131,35600.0,11849.99999999996,65.0
84650.0,122.16,133.0,1,0,0,1,0,7.14,0.0,21.792418,0.0,0.0,18.0717115,0.0,0.0,7,3,0,0,1.0,6.123233995736766e-17,65.0,60.84,66.67,65425.0,41050.0,5000.0,20.536167,20.063248,18.698668,0.0,0.0,0.0,16.437334,15.4737915,13.7675425,0.0,0.0,0.0,0.0,0.0,65.0,,62.50285714285714,4.43492094738164,49491.666666666664,15016.955694591757,65.0
42975.0,123.44,133.0,1,0,0,1,0,7.14,0.0,21.919502,0.0,0.0,18.7331655,0.0,0.0,8,3,1,0,1.0,6.123233995736766e-17,65.0,65.0,66.67,84650.0,86640.0,27200.0,21.792418,19.25492,18.550749,0.0,0.0,0.0,18.0717115,15.0633755,14.541501,0.0,0.05,0.1,0.0,0.0,65.0,,62.26428571428572,4.212745965689033,65841.66666666667,18603.499894733017,55.0
81950.0,123.36,133.0,1,0,0,1,0,7.14,0.0,22.894499,0.0,0.0,18.6654605,0.0,0.0,9,3,2,0,1.0,6.123233995736766e-17,55.0,65.0,56.67,42975.0,62800.0,12000.0,21.919502,20.536167,18.648666,0.0,0.0,0.0,18.7331655,16.437334,14.4842095,0.0,0.0,1.69999995,0.0,0.0,55.0,,60.59714285714286,4.479347847941463,64350.0,20858.28672254742,56.67
65700.0,122.8,133.0,1,0,0,1,0,7.14,0.0,23.16117,0.0,0.0,18.4540005,0.0,0.0,10,3,3,0,1.0,6.123233995736766e-17,56.67,65.0,56.67,81950.0,23750.0,36000.0,22.894499,21.792418,19.434084,0.0,0.0,0.0,18.6654605,18.0717115,15.140459,0.0,0.0,0.0,0.0,0.0,56.67,,60.597142857142856,4.479347847941463,69858.33333333333,23320.757027449417,56.67
47500.0,122.4,133.0,1,0,0,1,0,7.14,1.7,22.686167,0.0,0.0,18.044625,0.05,0.05,11,3,4,0,1.0,6.123233995736766e-17,56.67,55.0,60.84,65700.0,35600.0,58450.0,23.16117,21.919502,20.063248,0.0,0.0,0.0,18.4540005,18.7331655,15.4737915,0.0,0.0,0.0,0.0,0.0,56.67,,60.597142857142856,4.479347847941463,63541.666666666664,19576.93689863997,46.67
69250.0,122.85,133.0,1,0,0,1,0,7.14,0.0,23.134087,0.0,0.0,18.651917,0.0,0.0,12,3,5,1,1.0,6.123233995736766e-17,46.67,56.67,65.0,47500.0,47450.0,11250.0,22.686167,22.894499,19.25492,0.0,0.0,0.0,18.044625,18.6654605,15.0633755,0.05,0.0,0.05,1.7,0.0,46.67,,58.57285714285715,6.899390587304879,65050.0,17234.19565863165,46.67
88375.0,122.85,133.0,1,0,0,1,0,7.14,0.0,23.667418,0.0,0.0,19.126918000000003,0.0,0.0,13,3,6,1,1.0,6.123233995736766e-17,46.67,56.67,65.0,69250.0,65425.0,12125.0,23.134087,23.16117,20.536167,0.0,0.0,0.0,18.651917,18.4540005,16.437334,0.0,0.0,0.0,0.0,1.7,46.67,,55.95428571428571,7.505342224360099,60816.666666666664,11668.368923432758,45.0
35506.0,122.85,133.0,1,0,0,1,0,7.14,0.0,23.738253,0.0,0.0,20.0092085,0.0,0.0,14,3,0,0,1.0,6.123233995736766e-17,45.0,46.67,65.0,88375.0,84650.0,19166.666666666668,23.667418,22.686167,21.792418,0.0,0.0,0.0,19.126918000000003,18.044625,18.0717115,0.0,0.05,0.0,0.0,0.0,45.0,,53.09714285714285,7.29165668026532,68375.0,20451.54334029581,56.67
56500.0,122.8,133.0,1,0,0,1,0,7.14,0.0,24.132002,0.0,0.0,20.699836,0.0,0.0,15,3,1,0,1.0,6.123233995736766e-17,56.67,46.67,55.0,35506.0,42975.0,26208.333333333336,23.738253,23.134087,21.919502,0.0,0.0,0.0,20.0092085,18.651917,18.7331655,0.0,0.0,0.0,0.0,0.0,56.67,,51.90714285714285,5.4800265032380295,64377.0,26769.243302715862,61.0
93695.0,122.88,138.0,1,0,0,1,0,7.14,2.1,25.62992,0.0,0.0,20.334209,1.65000005,1.65000005,16,3,2,0,1.0,6.123233995736766e-17,61.0,45.0,56.67,56500.0,81950.0,33250.0,24.132002,23.667418,22.894499,0.0,0.0,0.0,20.699836,19.126918000000003,18.6654605,0.0,0.0,0.0,0.0,0.0,61.0,,52.76428571428572,6.431116691894389,60127.0,26620.464627800884,55.0
107243.0,122.33,138.0,1,0,0,1,0,7.14,0.0,27.14033,0.0,0.0,21.2904595,0.0,0.0,17,3,3,0,1.0,6.123233995736766e-17,55.0,56.67,56.67,93695.0,65700.0,85375.0,25.62992,23.738253,23.16117,0.0,0.0,0.0,20.334209,20.0092085,18.4540005,1.65000005,0.0,0.0,2.1,0.0,55.0,,52.52571428571429,6.291541562931614,61900.333333333336,29467.993320437196,65.0
93260.0,121.58,138.0,1,0,0,1,0,7.14,0.1,28.23825,0.0,0.0,22.2998335,0.0,0.0,18,3,4,0,1.0,6.123233995736766e-17,65.0,61.0,46.67,107243.0,47500.0,55250.0,27.14033,24.132002,22.686167,0.0,0.0,0.0,21.2904595,20.699836,18.044625,0.0,0.0,0.05,0.0,2.1,65.0,,53.715714285714284,7.81047343239166,85812.66666666667,26273.77773243374,65.0
97000.0,121.58,138.0,1,0,0,1,0,7.14,0.0,27.932001,0.0,0.0,22.480041,0.0,0.0,19,3,5,1,1.0,6.123233995736766e-17,65.0,55.0,46.67,93260.0,69250.0,11250.0,28.23825,25.62992,23.134087,0.0,0.0,0.0,22.2998335,20.334209,18.651917,0.0,1.65000005,0.0,0.1,0.0,65.0,,56.33428571428571,8.121120319149071,98066.0,7950.490739570584,57.5
50625.0,121.58,138.0,1,0,0,1,0,7.14,0.0,27.271582,0.0,0.0,22.396711,0.0,0.0,20,3,6,1,1.0,6.123233995736766e-17,57.5,65.0,45.0,97000.0,88375.0,66250.0,27.932001,27.14033,23.667418,0.0,0.0,0.0,22.480041,21.2904595,19.126918000000003,0.0,0.0,0.0,0.0,0.1,57.5,,57.881428571428565,6.915206501065722,99167.66666666667,7239.140579746394,60.0
55575.0,121.58,138.0,1,0,0,1,0,7.14,0.0,27.069502,0.4,0.4,21.7425425,0.15,0.15,21,3,0,0,1.0,6.123233995736766e-17,60.0,65.0,56.67,50625.0,35506.0,36750.0,27.271582,28.23825,23.738253,0.0,0.0,0.0,22.396711,22.2998335,20.0092085,0.0,0.0,0.0,0.0,0.0,60.0,,60.02428571428571,3.944083573923842,80295.0,25762.93024871196,65.0
97350.0,122.09,138.0,1,0,0,1,0,7.14,0.2,27.540335,0.0,0.0,20.91442,3.24999985,3.24999985,22,3,1,0,1.0,6.123233995736766e-17,65.0,57.5,61.0,55575.0,56500.0,48955.0,27.069502,27.932001,24.132002,0.4,0.0,0.0,21.7425425,22.480041,20.699836,0.15,0.0,0.0,0.0,0.0,65.0,,61.214285714285715,4.019298683198663,67733.33333333333,25466.23172621601,65.0
132595.0,122.19,138.0,1,0,0,1,0,7.14,11.4,26.979918,0.0,0.0,19.260252,4.75,4.75,23,3,2,0,1.0,6.123233995736766e-17,65.0,60.0,55.0,97350.0,93695.0,65500.0,27.540335,27.271582,25.62992,0.0,0.0,0.0,20.91442,22.396711,20.334209,3.24999985,0.0,1.65000005,0.2,0.0,65.0,,61.785714285714285,4.260840516231804,67850.0,25667.355239681347,70.0
159257.5,122.39,138.0,1,0,0,1,0,7.14,2.6000001,26.188253,0.1,0.1,18.8185845,7.75000055,7.75000055,24,3,3,0,1.0,6.123233995736766e-17,70.0,65.0,65.0,132595.0,107243.0,67375.0,26.979918,27.069502,27.14033,0.0,0.4,0.0,19.260252,21.7425425,21.2904595,4.75,0.15,0.0,11.4,0.2,70.0,,63.92857142857143,4.045867968563507,95173.33333333333,38556.10857352348,67.5
