RMSE,MAE,R2,Model,Dropped_Feature
5.770638574257993,4.147683833578359,0.8792826144743106,XGBoost,Average_Price_rollstd_7
5.993816144489983,4.161978166617108,0.869764642547275,LightGBM,Diesel
4.1111082575724005,2.5954487032019893,0.9387311260793548,Linear,Diesel
4.668097455308775,2.988546558681565,0.9210045822012635,RandomForest,Diesel
6.031191271706768,4.4256048191457555,0.8681353836381814,XGBoost,Diesel
6.150297002008225,4.378579051069544,0.8628757550189149,LightGBM,Hilly_Rainfall_MM_lag1
4.220794442505784,2.793529774353715,0.9354181508182884,Linear,Hilly_Rainfall_MM_lag1
4.733532817145422,3.0998608687106564,0.9187744133361025,RandomForest,Hilly_Rainfall_MM_lag1
5.896681401640502,4.25072251084922,0.8739515821330716,XGBoost,Hilly_Rainfall_MM_lag1
6.020103326354479,4.197313296147301,0.8686197866691273,LightGBM,Hilly_Rainfall_MM_lag3
4.225111767123582,2.7978381891185196,0.9352859655579661,Linear,Hilly_Rainfall_MM_lag3
4.74505895401855,3.1106114453134746,0.9183783636587735,RandomForest,Hilly_Rainfall_MM_lag3
5.779320249978159,4.1228030788034635,0.8789191130909948,XGBoost,Hilly_Rainfall_MM_lag3
5.888869054494828,4.037634639218227,0.8742853568810488,LightGBM,is_weekend
4.222979289001135,2.798434128427092,0.935351273386303,Linear,is_weekend
4.710772888480728,3.0878458536419306,0.9195536385646162,RandomForest,is_weekend
5.925461479772768,4.230375045555226,0.8727181642396468,XGBoost,is_weekend
5.988480886655602,4.160564541337754,0.8699963913853557,LightGBM,Average_Price_lag3
4.245961482693173,2.817287430999325,0.9346456992575962,Linear,Average_Price_lag3
4.704020088269966,3.08380781342072,0.9197841098094284,RandomForest,Average_Price_lag3
5.946984194320882,4.3299789417653844,0.87179184793418,XGBoost,Average_Price_lag3
6.354440781639053,4.56712862391442,0.853621684330899,LightGBM,Average_Price_rollmean_7
4.182282040304711,2.7856216265090685,0.9365913209482373,Linear,Average_Price_rollmean_7
